tensor(0.0323, device='cuda:0')
tensor(0.0075, device='cuda:0')
tensor(0.0260, device='cuda:0')
tensor(0.0039, device='cuda:0')
tensor(0.0061, device='cuda:0')
tensor(0.0141, device='cuda:0')
tensor(0.0022, device='cuda:0')
tensor(0.0262, device='cuda:0')
tensor(0.1160, device='cuda:0')
tensor(0.2337, device='cuda:0')
tensor(0.0047, device='cuda:0')
tensor(0.4941, device='cuda:0')
tensor(0.0153, device='cuda:0')
tensor(0.0140, device='cuda:0')
tensor(0.2480, device='cuda:0')
tensor(0.2539, device='cuda:0')
tensor(0.0099, device='cuda:0')
tensor(0.0107, device='cuda:0')
tensor(0.0135, device='cuda:0')
tensor(0.0074, device='cuda:0')
tensor(0.0017, device='cuda:0')
tensor(0.0250, device='cuda:0')
tensor(0.0038, device='cuda:0')
